question,answer,gold_documents,paraphrased_question,noisy_query
Which magazine was started first Arthur's Magazine or First for Women?,Arthur's Magazine,"[Arthur's Magazine] Arthur's Magazine (1844–1846) was an American literary periodical published in Philadelphia in the 19th century.  Edited by T.S. Arthur, it featured work by Edgar A. Poe, J.H. Ingraham, Sarah Josepha Hale, Thomas G. Spear, and others.  In May 1846 it was merged into ""Godey's Lady's Book"".

[First for Women] First for Women is a woman's magazine published by Bauer Media Group in the USA.  The magazine was started in 1989.  It is based in Englewood Cliffs, New Jersey.  In 2011 the circulation of the magazine was 1,310,696 copies.",What magazine did Arthur's Magazine or First for Women start first?,wich magasine starte 1st arthurs magasin or 1st 4 womin?
The Oberoi family is part of a hotel company that has a head office in what city?,Delhi,"[Oberoi family] The Oberoi family is an Indian family that is famous for its involvement in hotels, namely through The Oberoi Group.

[The Oberoi Group] The Oberoi Group is a hotel company with its head office in Delhi.  Founded in 1934, the company owns and/or operates 30+ luxury hotels and two river cruise ships in six countries, primarily under its Oberoi Hotels & Resorts and Trident Hotels brands.",Where is the head office of the hotel company associated with the Oberoi family?,th oberoi familee iz part of a hotel co. thas got a hed office in wot citi?
What nationality was James Henry Miller's wife?,American,"[Ewan MacColl] James Henry Miller (25 January 1915 – 22 October 1989), better known by his stage name Ewan MacColl, was an English folk singer, songwriter, communist, labour activist, actor, poet, playwright and record producer.

[Peggy Seeger] Margaret ""Peggy"" Seeger (born June 17, 1935) is an American folksinger.  She is also well known in Britain, where she has lived for more than 30 years, and was married to the singer and songwriter Ewan MacColl until his death in 1989.",What was the nationality of James Henry Miller's spouse?,wot nashnalitee wuz james henry millerz wifes?
"Cadmium Chloride is slightly soluble in this chemical, it is also called what?",alcohol,"[Cadmium chloride] Cadmium chloride is a white crystalline compound of cadmium and chlorine, with the formula CdCl.  It is a hygroscopic solid that is highly soluble in water and slightly soluble in alcohol.  Although it is considered to be ionic, it has considerable covalent character to its bonding.  The crystal structure of cadmium chloride (described below), composed of two-dimensional layers of ions, is a reference for describing other crystal structures.  Also known are CdCl•HO and CdCl•5HO.

[Ethanol] Ethanol, also called alcohol, ethyl alcohol, and drinking alcohol, is a compound and simple alcohol with the chemical formula C2H5OH .  Its formula can be written also as CH3 −CH2 −OH or C2H5 −OH (an ethyl group linked to a hydroxyl group), and is often abbreviated as EtOH.  Ethanol is a volatile, flammable, colorless liquid with a slight characteristic odor.  It is used as a drug and is the principal type of alcohol found in alcoholic drinks.",What is the other name for a chemical that Cadmium Chloride is slightly soluble in?,wut's the other name 4 a chemical dat cadmium chloride is slightly soluble in?
"Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?",Jonathan Stark,"[Henri Leconte] Henri Leconte (born 4 July 1963) is a former French professional tennis player.  He reached the men's singles final at the French Open in 1988, won the French Open men's doubles title in 1984, and helped France win the Davis Cup in 1991.  Leconte's career-high singles ranking was world No. 5.

[Jonathan Stark (tennis)] Jonathan Stark (born April 3, 1971) is a former professional tennis player from the United States.  During his career he won two Grand Slam doubles titles (the 1994 French Open Men's Doubles and the 1995 Wimbledon Championships Mixed Doubles).  Stark reached the World No. 1 doubles ranking in 1994.",How many Grand Slam titles did Henri Leconte and Jonathan Stark each win?,wich tennis player won moar grand slam tittles henri leconte or jonathan stark?
Which genus of moth in the world's seventh-largest country contains only one species?,Crambidae,"[India] India, officially the Republic of India (""Bhārat Gaṇarājya""), is a country in South Asia.  It is the seventh-largest country by area, the second-most populous country (with over 1.2 billion people), and the most populous democracy in the world.  It is bounded by the Indian Ocean on the south, the Arabian Sea on the southwest, and the Bay of Bengal on the southeast.  It shares land borders with Pakistan to the west; China, Nepal, and Bhutan to the northeast; and Myanmar (Burma) and Bangladesh to the east.  In the Indian Ocean, India is in the vicinity of Sri Lanka and the Maldives.  India's Andaman and Nicobar Islands share a maritime border with Thailand and Indonesia.

[Indogrammodes] Indogrammodes is a genus of moths of the Crambidae family.  It contains only one species, Indogrammodes pectinicornalis, which is found in India.",What moth genus has only one species in the world's seventh-largest country?,wich genus of moths in the 7th largist country got only 1 speciez?
What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?,6.213 km long,"[Mount Panorama Circuit] Mount Panorama Circuit is a motor racing track located in Bathurst, New South Wales, Australia.  It is situated on a hill with the dual official names of Mount Panorama and Wahluu and is best known as the home of the Bathurst 1000 motor race held each October, and the Bathurst 12 Hour event held each February.  The 6.213 km long track is technically a street circuit, and is a public road, with normal speed restrictions, when no racing events are being run, and there are many residences which can only be accessed from the circuit.

[2013 Liqui Moly Bathurst 12 Hour] The 2013 Liqui Moly Bathurst 12 Hour was an endurance race for a variety of GT and touring car classes, including: GT3 cars, GT4 cars, Group 3E Series Production Cars and Dubai 24 Hour cars.  The event, which was staged at the Mount Panorama Circuit, near Bathurst, in New South Wales, Australia on 10 February 2013, was the eleventh running of the Bathurst 12 Hour.  The race also incorporated the opening round of the 2013 Australian GT Championship.  The Australian GT Championship was to compete as the first hour only and cars were permitted to enter for only that hour or to cross-enter for both the first hour and continue for the endurance race.",What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour took place?,whats th lenghth of th track wut 2013 liqui moly bathurst 12 hr
Where did the form of music played by Die Rhöner Säuwäntzt originate?,United States,"[Skiffle] Skiffle is a music genre with jazz, blues, folk and American folk influences, usually using a combination of manufactured and homemade or improvised instruments.  Originating as a term in the United States in the first half of the 20th century, it became popular again in the UK in the 1950s, where it was associated with artists such as Lonnie Donegan, The Vipers Skiffle Group, Ken Colyer and Chas McDevitt.  Skiffle played a major part in beginning the careers of later eminent jazz, pop, blues, folk and rock musicians and has been seen as a critical stepping stone to the second British folk revival, blues boom and British Invasion of the US popular music scene.

[Die Rhöner Säuwäntzt] Die Rhöner Säuwäntzt are a Skiffle-Bluesband from Eichenzell-Lütter in Hessen, Germany.  The line-up consists of Martin Caba, Christoph Günther and Christoph Leipold playing Skiffle-Blues with lyrics based on Rhön Mountains dialect and other Hessian dialects varieties.  The expression ""Säuwäntzt"" means pork belly and refers also to untidy or unruly children and youth.",From which region did Die Rhöner Säuwäntzt's music originate?,Where 4 die röner säuwäntzt music 8 originated?
In which American football game was Malcolm Smith named Most Valuable player?,Super Bowl XLVIII,"[Malcolm Smith (American football)] Malcolm Xavier Smith (born July 5, 1989) is an American football linebacker for the San Francisco 49ers of the National Football League (NFL).  Smith played college football at USC.  He was drafted by the Seattle Seahawks in the seventh round of the 2011 NFL Draft.  Smith was named the Most Valuable Player of Super Bowl XLVIII after they defeated the Denver Broncos.

[Super Bowl XLVIII] Super Bowl XLVIII was an American football game between the American Football Conference (AFC) champion Denver Broncos and National Football Conference (NFC) champion Seattle Seahawks to decide the National Football League (NFL) champion for the 2013 season.  The Seahawks defeated the Broncos 43–8, the largest margin of victory for an underdog and tied for the third largest point differential overall (35) in Super Bowl history with Super Bowl XXVII (1993).  It was the first time the winning team scored over 40 points, while holding their opponent to under 10.  This became the first Super Bowl victory for the Seahawks and the fifth Super Bowl loss for the Broncos, the most of any team.  The game was played on February 2, 2014, at MetLife Stadium at the Meadowlands Sports Complex in East Rutherford, New Jersey, the first Super Bowl played outdoors in a cold-weather city and the first Super Bowl to be played on a February 2.",What American football game awarded Malcolm Smith the title of Most Valuable Player?,wch american foot ball game was malcom smith namd mos valuble player?
"What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?",US 60,"[Zilpo Road] Zilpo Road is a National Forest Scenic Byway in the forested hills of eastern Kentucky, United States.  The nine mile byway starts south of Morehead, Kentucky and can be accessed by U.S. Highway 60.  The byway travels through the Daniel Boone National Forest and ends on the western shore of Cave Run Lake at the Zilpo Recreation Area.  It follows FSR 918, which is a two lane paved road suitable for all motor vehicles and is usually open throughout the year.

[Morehead, Kentucky] Morehead is a home rule-class city located along US 60 (the historic Midland Trail) and Interstate 64 in Rowan County, Kentucky, in the United States.  It is the seat of its county.  The population was 6,845 at the time of the 2010 U.S. census.",Which US highway provides access to Zilpo Road and is also called Midland Trail?,wut us highway gives acsses 2 zilpo road an is als knwn as mident trail?
