question,trap_id,trap_query
"Daniel Heartz is an American musicologist and Professor emeritus of Music at which public research university located in Berkeley, California?",1,"What is the birthplace of Daniel Heartz, a famous astronaut, at a public research university in a city with a famous tower?"
"Daniel Heartz is an American musicologist and Professor emeritus of Music at which public research university located in Berkeley, California?",2,"What is the name of the university where Daniel Heartz, a renowned chef, has a research center for pastry-making in the city of Paris?"
"Daniel Heartz is an American musicologist and Professor emeritus of Music at which public research university located in Berkeley, California?",3,"At which university in Tokyo, Japan, did Daniel Heartz, a celebrated painter, exhibit his artwork in a solo museum show?"
The Bass Rock Lighthouse was next to what Castle?,3,What is the name of the castle that the Bass Rock Lighthouse is attached to?
"Jonas Hummels is the younger brother of a German professional footballer who plays for the German national team, and who else?",1,"Jonas Hummels is the younger brother of a French professional tennis player who competes in the US Open, and who else?"
"Jonas Hummels is the younger brother of a German professional footballer who plays for the German national team, and who else?",2,"Jonas Hummels is the younger brother of a British rockstar who won the Grammy Award, and who else?"
"Jonas Hummels is the younger brother of a German professional footballer who plays for the German national team, and who else?",3,"Jonas Hummels is the younger brother of a retired astronaut who visited the Moon, and who else?"
What animal subject to the Foster's rule is the smallest North American deer?,1,What is the smallest mammal in the Andromeda galaxy?
What animal subject to the Foster's rule is the smallest North American deer?,2,What is the average airspeed velocity of an unladen platypus?
What animal subject to the Foster's rule is the smallest North American deer?,3,What is the smallest celestial body in our solar system?
Into the Labyrinth was only was later shown in the United States as part of a program whose featurettes focused on characters with what?,1,"What was the first language spoken by the protagonists in the 1986 fantasy film Into the Labyrinth, and how did this affect the box office results?"
Into the Labyrinth was only was later shown in the United States as part of a program whose featurettes focused on characters with what?,2,"What was the average annual salary of the special effects team behind the 1986 fantasy film Into the Labyrinth, and how did it compare to the average salary of the film's producers?"
Into the Labyrinth was only was later shown in the United States as part of a program whose featurettes focused on characters with what?,3,"What was the name of the theme park built by the director of the 1986 fantasy film Into the Labyrinth, and what was its main attraction that year?"
Jeremy Brock is the writer and director of this 2011 drama that was adapted from him and what other female?,1,Jeremy Brock is the writer and director of this 2011 sci-fi that was adapted from him and what medieval kingdom?
Jeremy Brock is the writer and director of this 2011 drama that was adapted from him and what other female?,2,Jeremy Brock is the writer and director of this 2025 comedy that was adapted from him and what famous painting?
Jeremy Brock is the writer and director of this 2011 drama that was adapted from him and what other female?,3,Jeremy Brock is the writer and director of this 1995 action that was adapted from him and what distant planet?
"Simone Kirby is an Irish actress, her credits include as Tracey Moynihan in which Irish dramatic television series broadcast, on RTÃ Television, the show aired between 2010 and 2014?",1,What is the name of the Italian opera house where Simone Kirby performed in a production of 'La BohÃ¨me' in the 1990s?
"Simone Kirby is an Irish actress, her credits include as Tracey Moynihan in which Irish dramatic television series broadcast, on RTÃ Television, the show aired between 2010 and 2014?",2,In what year did Simone Kirby win the Academy Award for Best Actress for her role in a fictional film about ancient Egypt?
"Simone Kirby is an Irish actress, her credits include as Tracey Moynihan in which Irish dramatic television series broadcast, on RTÃ Television, the show aired between 2010 and 2014?",3,"What is the average airspeed velocity of an unladen swallow mentioned in a conversation between Simone Kirby and a renowned physicist, recorded on a specific date in the early 2000s?"
